name,age,height,nationality,current_club,current_market_value,date_highest_market_value,total_transfer_proceeds,apps_season,goals_season,assists_season,played_minutes,wc_winner,cl_winner,days_in_team,days_to_contract_expiry,international_exp,offence,midfield,defence,liga1,liga2,Asia,Africa,America,Europe,goals*mins
Sebastian Polter,26,190,Germany,1 fc union berlin,2000000,233,4850000,35,9,6,2284,0,0,102,1165,10,1,0,0,0,1,0,0,0,1,20556
Philipp Hosiner,27,179,Austria,1 fc union berlin,800000,1212,3100000,21,5,0,779,0,0,295,799,5,1,0,0,0,1,0,0,0,1,3895
Collin Quaner,25,191,Germany,huddersfield town,750000,54,500000,31,11,6,1965,0,0,92,1165,1,1,0,0,0,1,0,0,0,1,21615
Even Hovland,28,190,Norway,1 fc nuremberg,900000,1941,1250000,21,1,0,1597,0,0,1026,69,23,0,0,1,0,1,0,0,0,1,1597
Dave Bulthuis,26,190,Netherlands,1 fc nuremberg,900000,1418,600000,22,1,1,1968,0,0,1026,69,0,0,0,1,0,1,0,0,0,1,1968
Georg Margreitter,28,186,Austria,1 fc nuremberg,900000,1686,800000,15,1,0,1208,0,0,607,1530,0,0,0,1,0,1,0,0,0,1,1208
Lukas Mühl,20,189,Germany,1 fc nuremberg,500000,89,0,20,1,0,1522,0,0,295,799,3,0,0,1,0,1,0,0,0,1,1522
Eduard Löwen,20,188,Germany,1 fc nürnberg ii,150000,26,0,20,0,0,1543,0,0,295,434,0,0,0,1,0,0,0,0,0,1,0
Laszlo Sepsi,29,179,Romania,1 fc nuremberg,800000,3385,3700000,21,0,0,1861,0,0,661,434,4,0,0,1,0,1,0,0,0,1,0
Constant Djakpa,30,177,Cote d'Ivoire,1 fc nuremberg,500000,2652,2150000,6,0,0,455,0,0,81,69,8,0,0,1,0,1,0,1,0,0,0
Dennis Lippert,21,172,Germany,1 fc nürnberg ii,300000,26,0,25,2,0,2128,0,0,661,69,0,0,0,1,0,0,0,0,0,1,4256
Miso Brecko,32,178,Slovenia,1 fc nuremberg,550000,2472,530000,26,0,3,2252,0,0,632,434,77,0,0,1,0,1,0,0,0,1,0
Patrick Kammerbauer,20,174,Germany,1 fc nuremberg,300000,26,0,21,1,0,1088,0,0,295,434,3,0,0,1,0,1,0,0,0,1,1088
Hanno Behrens,27,188,Germany,1 fc nuremberg,1500000,274,0,28,1,6,2398,0,0,661,434,0,0,1,0,0,1,0,0,0,1,2398
Patrick Erras,22,196,Germany,1 fc nuremberg,1000000,402,0,0,0,22,0,0,0,555,434,0,0,1,0,0,1,0,0,0,1,0
Ondrej Petrak,25,186,Czech Republic,1 fc nuremberg,850000,1165,1000000,21,1,2,1744,0,0,1201,434,7,0,1,0,0,1,0,0,0,1,1744
Philipp Förster,22,188,Germany,1 fc nuremberg,250000,89,150000,22,2,4,1862,0,0,81,1165,0,0,1,0,0,1,0,0,0,1,3724
Willi Evseev,25,179,Germany,1 fc nuremberg,125000,1157,0,10,1,0,813,0,0,1026,69,7,0,1,0,0,1,0,0,0,1,813
Tobias Kempe,27,184,Germany,1 fc nuremberg,800000,2149,0,27,4,4,1839,0,0,295,799,5,0,1,0,0,1,0,0,0,1,7356
Tim Leibold,23,174,Germany,1 fc nuremberg,1000000,274,0,12,0,3,948,0,0,661,434,3,0,1,0,0,1,0,0,0,1,0
Kevin Möhwald,23,183,Germany,1 fc nuremberg,1000000,89,0,25,3,11,1990,0,0,661,434,1,0,1,0,0,1,0,0,0,1,5970
Lucas Hufnagel,23,183,Georgia,1 fc nuremberg,350000,436,0,16,3,3,1024,0,0,81,69,1,0,1,0,0,1,1,0,0,0,3072
Abdelhamid Sabiri,20,186,Morocco,1 fc nuremberg,250000,89,0,26,15,6,2064,0,0,111,434,0,0,1,0,0,1,0,1,0,0,30960
Edgar Salli,24,170,Cameroon,1 fc nuremberg,700000,1787,0,16,2,2,962,0,0,275,799,35,1,0,0,0,1,0,1,0,0,1924
Rúrik Gíslason,29,184,Iceland,1 fc nuremberg,400000,2138,1850000,15,0,1,472,0,0,661,434,39,1,0,0,0,1,0,0,0,1,0
Dominic Baumann,21,178,Germany,1 fc nürnberg ii,125000,988,0,30,15,10,2390,0,0,661,69,0,1,0,0,0,0,0,0,0,1,35850
Tim Matavz,28,188,Slovenia,1 fc nuremberg,1500000,2058,12600000,20,5,3,1578,0,0,235,69,31,1,0,0,0,1,0,0,0,1,7890
Mikael Ishak,24,185,Sweden,1 fc nuremberg,800000,1758,280000,24,9,2,1806,0,0,82,1165,3,1,0,0,0,1,0,0,0,1,16254
Cedric Teuchert,20,182,Germany,1 fc nuremberg,400000,89,0,18,2,2,346,0,0,751,434,2,1,0,0,0,1,0,0,0,1,692
Shawn Parker,24,179,Germany,1 fc nuremberg,350000,1334,1600000,8,1,0,298,0,0,242,69,2,1,0,0,0,1,0,0,0,1,298
Felix Bastians,28,188,Germany,vfl bochum,1200000,2124,350000,26,3,1,2343,0,0,887,1165,9,0,0,1,0,1,0,0,0,1,7029
Pawel Dawidowicz,21,191,Poland,vfl bochum,1000000,631,2500000,17,0,0,1048,0,0,253,69,9,0,0,1,0,1,0,0,0,1,0
Tim Hoogland,31,183,Germany,vfl bochum,550000,2652,580000,24,2,1,2105,0,0,661,799,3,0,0,1,0,1,0,0,0,1,4210
Patrick Fabian,29,194,Germany,vfl bochum,500000,436,0,1,0,0,90,0,0,3583,434,0,0,0,1,0,1,0,0,0,1,0
Maxim Leitsch,18,188,Germany,vfl bochum u19,200000,89,0,14,0,0,1199,0,0,661,799,2,0,0,1,0,0,0,0,0,1,0
Tom Baack,18,180,Germany,vfl bochum,100000,274,0,11,0,2,857,0,0,185,799,2,0,0,1,0,1,0,0,0,1,0
Timo Perthel,28,185,Germany,vfl bochum,800000,830,50000,15,0,0,1192,0,0,1026,799,3,0,0,1,0,1,0,0,0,1,0
Nico Rieble,21,182,Germany,vfl bochum,400000,26,0,19,0,0,1120,0,0,295,434,0,0,0,1,0,1,0,0,0,1,0
Jannik Bandowski,23,189,Germany,vfl bochum,300000,661,0,0,0,0,2,0,0,234,799,2,0,0,1,0,1,0,0,0,1,0
Moise Ngwisani,19,174,Germany,vfl bochum u19,0,477,1646,1646,0,0,0,0,0,295,69,0,0,0,1,0,0,0,0,0,1,0
Stefano Celozzi,28,171,Germany,vfl bochum,900000,2505,2700000,7,1,0,492,0,0,1013,1165,3,0,0,1,0,1,0,0,0,1,492
Jan Gyamerah,21,184,Germany,vfl bochum,400000,26,0,21,1,3,1280,0,0,1391,799,0,0,0,1,0,1,0,0,0,1,1280
Anthony Losilla,31,185,France,vfl bochum,800000,1393,0,26,1,3,2302,0,0,1026,799,0,0,1,0,0,1,0,0,0,1,2302
Dominik Wydra,23,185,Austria,vfl bochum,500000,914,600000,13,1,1,662,0,0,295,434,19,0,1,0,0,1,0,0,0,1,662
Vitaly Janelt,18,184,Germany,vfl bochum,125000,274,100000,19,1,1,1484,0,0,103,434,2,0,1,0,0,1,0,0,0,1,1484
Tim Krafft,19,185,Germany,vfl bochum u19,100000,274,0,22,0,1,1978,0,0,661,69,0,0,1,0,0,0,0,0,0,1,0
Marco Stiepermann,26,190,Germany,vfl bochum,900000,830,1150000,28,1,3,2323,0,0,295,799,3,0,1,0,0,1,0,0,0,1,2323
Alexander Merkel,25,179,Kazakhstan,vfl bochum,400000,1928,6500000,10,0,1,616,0,0,250,434,1,0,1,0,0,1,1,0,0,0,0
Russell Canouse,21,177,United States,vfl bochum,350000,89,0,18,1,0,884,0,0,290,434,12,0,1,0,0,1,0,0,1,0,884
Tom Weilandt,24,186,Germany,vfl bochum,600000,830,0,18,2,7,1284,0,0,295,434,2,0,1,0,0,1,0,0,0,1,2568
Kevin Stöger,23,175,Austria,vfl bochum,800000,830,1300000,8,3,0,686,0,0,295,434,17,0,1,0,0,1,0,0,0,1,2058
Thomas Eisfeld,24,177,Germany,vfl bochum,750000,977,2250000,13,2,2,1090,0,0,610,434,1,0,1,0,0,1,0,0,0,1,2180
Görkem Saglam,19,178,Germany,vfl bochum,300000,89,0,22,5,5,1218,0,0,295,434,0,0,1,0,0,1,0,0,0,1,6090
Ulrich Bapoh,17,18,Germany,vfl bochum u19,0,477,220,1542,0,0,0,0,0,295,1165,4,0,1,0,0,0,0,0,0,1,0
Vangelis Pavlidis,18,186,Greece,vfl bochum,200000,274,0,21,6,6,1543,0,0,295,799,11,1,0,0,0,1,0,0,0,1,9258
Hayk Galstyan,19,171,Armenia,vfl bochum u19,125000,274,0,20,6,2,1401,0,0,444,434,16,1,0,0,0,0,1,0,0,0,8406
Selim Gündüz,22,171,Germany,vfl bochum,350000,755,0,15,1,1,807,0,0,1756,434,0,1,0,0,0,1,0,0,0,1,807
Johannes Wurtz,24,182,Germany,vfl bochum,700000,89,300000,29,8,6,2153,0,0,295,1165,5,1,0,0,0,1,0,0,0,1,17224
Peniel Mlapa,26,193,Togo,vfl bochum,750000,2292,3800000,28,7,3,2076,0,0,624,799,0,1,0,0,0,1,0,1,0,0,14532
Nils Quaschner,22,184,Germany,vfl bochum,500000,914,300000,24,3,4,1605,0,0,290,69,10,1,0,0,0,1,0,0,0,1,4815
Lasse Sobiech,26,196,Germany,fc st pauli,1300000,1503,1600000,24,2,0,2068,0,0,661,434,16,0,0,1,0,1,0,0,0,1,4136
Philipp Ziereis,24,189,Germany,fc st pauli,1000000,274,100000,14,0,1,1020,0,0,1391,799,0,0,0,1,0,1,0,0,0,1,0
Sören Gonther,30,186,Germany,fc st pauli,500000,1923,0,18,1,0,1183,0,0,1756,69,0,0,0,1,0,1,0,0,0,1,1183
Brian Koglin,20,186,Germany,fc st pauli ii,150000,89,0,25,1,0,2219,0,0,295,434,0,0,0,1,0,0,0,0,0,1,2219
Daniel Buballa,26,187,Germany,fc st pauli,750000,274,0,26,0,0,1953,0,0,1026,69,0,0,0,1,0,1,0,0,0,1,0
Jeremy Dudziak,21,180,Germany,fc st pauli,600000,548,250000,19,0,1,1487,0,0,603,434,1,0,0,1,0,1,0,0,0,1,0
Joël Keller,22,179,Switzerland,fc st pauli,300000,89,0,18,1,2,1390,0,0,295,434,0,0,0,1,0,1,0,0,0,1,1390
Marc Hornschuh,26,188,Germany,fc st pauli,600000,274,90000,18,0,0,1548,0,0,600,1165,11,0,0,1,0,1,0,0,0,1,0
Jan-Philipp Kalla,30,182,Germany,fc st pauli,450000,1188,0,12,0,0,602,0,0,3583,434,0,0,0,1,0,1,0,0,0,1,0
Bernd Nehrig,30,180,Germany,fc st pauli,500000,1763,50000,27,1,1,2209,0,0,1391,69,1,0,1,0,0,1,0,0,0,1,2209
Christopher Avevor,25,184,Germany,fc st pauli,300000,1569,400000,12,0,0,808,0,0,295,799,0,0,1,0,0,1,0,0,0,1,0
Yi-Young Park,22,186,"Korea, South",fc st pauli ii,200000,76,0,23,0,0,2024,0,0,653,69,0,0,1,0,0,0,1,0,0,0,0
Johannes Flum,29,190,Germany,fc st pauli,750000,1758,2030000,7,0,0,471,0,0,106,434,2,0,1,0,0,1,0,0,0,1,0
Christopher Buchtmann,24,175,Germany,fc st pauli,700000,1188,260000,28,4,1,2264,0,0,1696,799,3,0,1,0,0,1,0,0,0,1,9056
Richard Neudecker,20,174,Germany,fc st pauli,300000,436,0,18,3,5,1293,0,0,295,799,3,0,1,0,0,1,0,0,0,1,3879
Dennis Rosin,20,182,Germany,fc st pauli,200000,89,0,20,0,3,1370,0,0,1016,69,0,0,1,0,0,1,0,0,0,1,0
Mats Möller Daehli,22,172,Norway,fc st pauli,750000,1193,4500000,19,5,0,1267,0,0,94,69,14,0,1,0,0,1,0,0,0,1,6335
Ryo Miyaichi,24,183,Japan,fc st pauli,600000,1763,0,18,0,0,711,0,0,661,434,2,1,0,0,0,1,1,0,0,0,0
Maurice Litka,21,180,Germany,fc st pauli,225000,89,0,22,0,4,1315,0,0,919,434,0,1,0,0,0,1,0,0,0,1,0
Cenk Sahin,22,179,Turkey,fc st pauli,1000000,460,0,25,4,6,1492,0,0,270,69,11,1,0,0,0,1,0,0,0,1,5968
Waldemar Sobota,29,175,Poland,fc st pauli,750000,1292,1300000,29,1,5,2417,0,0,295,434,18,1,0,0,0,1,0,0,0,1,2417
Kyoung-Rok Choi,22,176,"Korea, South",fc st pauli,400000,436,0,19,1,2,1253,0,0,661,799,0,1,0,0,0,1,1,0,0,0,1253
Lennart Thy,25,184,Germany,fc st pauli,900000,436,0,17,1,0,582,0,0,111,69,7,1,0,0,0,1,0,0,0,1,582
Aziz Bouhaddouz,30,188,Morocco,fc st pauli,800000,274,0,24,12,3,1983,0,0,295,799,8,1,0,0,0,1,0,1,0,0,23796
Nico Empen,21,182,Germany,fc st pauli,150000,848,0,29,2,1,2151,0,0,842,434,1,1,0,0,0,1,0,0,0,1,4302
Jan-Marc Schneider,23,178,Germany,fc st pauli ii,200000,76,0,28,12,7,2262,0,0,661,69,0,1,0,0,0,0,0,0,0,1,27144
Julian Börner,26,188,Germany,arminia bielefeld,850000,274,0,25,3,2,2183,0,0,1026,799,2,0,0,1,0,1,0,0,0,1,6549
Brian Behrendt,25,187,Germany,arminia bielefeld,800000,274,300000,28,1,2,2456,0,0,647,434,0,0,0,1,0,1,0,0,0,1,2456
Stephan Salger,27,183,Germany,arminia bielefeld,600000,274,0,20,0,2,1487,0,0,1756,434,2,0,0,1,0,1,0,0,0,1,0
Malcolm Cacutalua,22,188,Germany,arminia bielefeld,450000,1261,0,14,1,0,1027,0,0,264,434,1,0,0,1,0,1,0,0,0,1,1027
Manuel Hornig,34,190,Germany,arminia bielefeld,100000,1394,0,4,0,1,189,0,0,2122,69,0,0,0,1,0,1,0,0,0,1,0
Henri Weigelt,19,189,Germany,arminia bielefeld u19,0,477,0,1898,0,0,0,0,0,661,69,0,0,0,1,0,0,0,0,0,1,0
Sebastian Schuppan,30,187,Germany,arminia bielefeld,500000,1569,0,28,4,3,2466,0,0,1026,69,0,0,0,1,0,1,0,0,0,1,9864
Florian Hartherz,23,187,Germany,arminia bielefeld,500000,1758,350000,22,0,3,1529,0,0,295,434,4,0,0,1,0,1,0,0,0,1,0
Florian Dick,32,184,Germany,arminia bielefeld,300000,1916,0,5,0,0,421,0,0,1013,434,4,0,0,1,0,1,0,0,0,1,0
Steffen Lang,23,178,Germany,arminia bielefeld,250000,661,0,8,0,2,612,0,0,661,69,0,0,0,1,0,1,0,0,0,1,0
Tom Schütz,29,181,Germany,arminia bielefeld,650000,436,0,30,2,2,2718,0,0,2122,434,1,0,1,0,0,1,0,0,0,1,5436
Manuel Prietl,25,187,Austria,arminia bielefeld,550000,89,0,21,1,0,1401,0,0,295,434,3,0,1,0,0,1,0,0,0,1,1401
Tomasz Holota,26,182,Poland,arminia bielefeld,400000,662,220000,11,0,2,657,0,0,295,434,0,0,1,0,0,1,0,0,0,1,0
Allan Firmino Dantas,20,178,Germany,arminia bielefeld,100000,256,0,20,3,0,1473,0,0,274,434,0,0,1,0,0,1,0,0,0,1,4419
Reinhold Yabo,25,176,Germany,arminia bielefeld,1000000,661,0,15,3,4,885,0,0,93,69,0,0,1,0,0,1,0,0,0,1,2655
Manuel Junglas,28,187,Germany,arminia bielefeld,600000,2149,0,24,0,2,1595,0,0,841,69,2,0,1,0,0,1,0,0,0,1,0
Michael Görlitz,30,172,Germany,arminia bielefeld,500000,2603,0,23,0,1,1921,0,0,661,69,6,0,1,0,0,1,0,0,0,1,0
Keanu Staude,20,176,Germany,arminia bielefeld,350000,89,0,21,0,1,870,0,0,295,1165,2,0,1,0,0,1,0,0,0,1,0
David Ulm,32,174,France,arminia bielefeld,250000,1778,0,12,1,0,388,0,0,956,434,0,0,1,0,0,1,0,0,0,1,388
Christopher Nöthe,29,184,Germany,arminia bielefeld,650000,1763,100000,16,1,2,1183,0,0,661,799,1,1,0,0,0,1,0,0,0,1,1183
Christoph Hemlein,26,181,Germany,arminia bielefeld,650000,661,75000,28,4,4,1775,0,0,1026,434,0,1,0,0,0,1,0,0,0,1,7100
Sören Brandy,31,183,Germany,arminia bielefeld,450000,1027,0,11,0,1,304,0,0,102,799,0,1,0,0,0,1,0,0,0,1,0
Fabian Klos,29,194,Germany,arminia bielefeld,900000,274,0,32,14,1,2711,0,0,2122,799,0,1,0,0,0,1,0,0,0,1,37954
Andreas Voglsammer,25,178,Germany,arminia bielefeld,600000,89,200000,30,7,2,1879,0,0,458,434,3,1,0,0,0,1,0,0,0,1,13153
Leandro Putaro,20,187,Germany,arminia bielefeld,300000,274,0,16,2,1,614,0,0,260,69,2,1,0,0,0,1,0,0,0,1,1228
Florian Ballas,24,196,Germany,sg dynamo dresden,700000,89,100000,26,1,0,2258,0,0,295,799,1,0,0,1,0,1,0,0,0,1,2258
Jannik Müller,23,187,Germany,sg dynamo dresden,500000,89,0,23,1,0,1870,0,0,1026,434,2,0,0,1,0,1,0,0,0,1,1870
Giuliano Modica,26,184,Argentina,sg dynamo dresden,450000,274,0,18,0,1,1532,0,0,661,69,0,0,0,1,0,1,0,0,1,0,0
Hendrik Starostzik,26,190,Germany,sg dynamo dresden,250000,274,0,3,0,0,57,0,0,295,434,0,0,0,1,0,1,0,0,0,1,0
Philip Heise,25,184,Germany,sg dynamo dresden,700000,661,850000,14,2,4,1156,0,0,102,799,0,0,0,1,0,1,0,0,0,1,2312
Fabian Müller,30,175,Germany,sg dynamo dresden,500000,1393,50000,22,0,1,1925,0,0,661,434,0,0,0,1,0,1,0,0,0,1,0
Marc Wachs,21,180,Germany,sg dynamo dresden,200000,274,0,0,0,0,0,0,0,295,799,0,0,0,1,0,1,0,0,0,1,0
Niklas Landgraf,21,178,Germany,sg dynamo dresden,100000,274,0,0,0,0,0,0,0,661,69,0,0,0,1,0,1,0,0,0,1,0
Niklas Kreuzer,24,178,Germany,sg dynamo dresden,500000,89,0,26,2,4,1958,0,0,1026,799,2,0,0,1,0,1,0,0,0,1,3916
Nils Teixeira,26,175,Germany,sg dynamo dresden,450000,1393,0,16,0,3,1270,0,0,1026,69,0,0,0,1,0,1,0,0,0,1,0
Marco Hartmann,29,194,Germany,sg dynamo dresden,650000,89,0,27,1,3,2349,0,0,1391,1165,0,0,1,0,0,1,0,0,0,1,2349
Manuel Konrad,29,187,Germany,sg dynamo dresden,500000,1027,0,14,1,0,659,0,0,295,434,6,0,1,0,0,1,0,0,0,1,659
Robin Fluß,20,182,Germany,sg dynamo dresden,100000,274,0,0,0,20,0,0,0,661,69,0,0,1,0,0,1,0,0,0,1,0
Niklas Hauptmann,20,176,Germany,sg dynamo dresden,650000,26,0,25,1,2,1651,0,0,661,1165,0,0,1,0,0,1,0,0,0,1,1651
Andreas Lambertz,32,172,Germany,sg dynamo dresden,350000,1923,0,25,3,5,1649,0,0,661,69,0,0,1,0,0,1,0,0,0,1,4947
Akaki Gogia,25,178,Germany,sg dynamo dresden,1000000,89,50000,19,7,1,1390,0,0,257,69,3,0,1,0,0,1,0,0,0,1,9730
Aias Aosman,22,175,Syria,sg dynamo dresden,650000,89,0,28,3,2,1991,0,0,655,799,0,0,1,0,0,1,1,0,0,0,5973
Marvin Stefaniak,22,178,Germany,sg dynamo dresden,1500000,198,2000000,24,1,4,1973,0,0,1391,1165,1,1,0,0,0,1,0,0,0,1,1973
Erich Berko,22,181,Germany,sg dynamo dresden,450000,89,0,25,3,5,1298,0,0,295,799,10,1,0,0,0,1,0,0,0,1,3894
Marcel Hilßner,22,183,Germany,sg dynamo dresden,300000,274,0,6,0,1,55,0,0,295,799,3,1,0,0,0,1,0,0,0,1,0
Marcos Álvarez,25,179,Germany,sg dynamo dresden,300000,347,200000,3,0,0,41,0,0,111,434,2,1,0,0,0,1,0,0,0,1,0
Stefan Kutschke,28,194,Germany,sg dynamo dresden,750000,808,550000,31,18,4,2241,0,0,470,69,0,1,0,0,0,1,0,0,0,1,40338
Pascal Testroet,26,185,Germany,sg dynamo dresden,550000,274,50000,24,3,4,947,0,0,661,799,5,1,0,0,0,1,0,0,0,1,2841
Tim Kister,30,193,Germany,sv sandhausen,600000,89,0,24,3,1,1967,0,0,1391,69,0,0,0,1,0,1,0,0,0,1,5901
Daniel Gordon,32,194,Jamaica,sv sandhausen,500000,661,0,26,1,2,2226,0,0,295,434,5,0,0,1,0,1,0,0,1,0,2226
Tim Knipping,24,190,Germany,sv sandhausen,350000,89,0,17,2,0,1505,0,0,295,434,0,0,0,1,0,1,0,0,0,1,3010
Leart Paqarada,22,184,Kosovo,sv sandhausen,600000,436,0,17,0,2,1406,0,0,1026,1165,5,0,0,1,0,1,0,0,0,1,0
Damian Roßbach,24,187,Germany,sv sandhausen,550000,26,0,18,0,1,1405,0,0,661,69,0,0,0,1,0,1,0,0,0,1,0
Philipp Klingmann,28,180,Germany,sv sandhausen,600000,1027,0,30,1,2,2704,0,0,661,69,0,0,0,1,0,1,0,0,0,1,2704
Denis Linsmayer,25,182,Germany,sv sandhausen,1000000,274,0,29,1,0,2361,0,0,1391,69,0,0,1,0,0,1,0,0,0,1,2361
Markus Karl,31,192,Germany,sv sandhausen,500000,1188,350000,23,3,1,886,0,0,295,434,1,0,1,0,0,1,0,0,0,1,2658
Daniel Lukasik,25,180,Poland,sv sandhausen,400000,1535,800000,18,1,1,846,0,0,234,69,5,0,1,0,0,1,0,0,0,1,846
Stefan Kulovits,34,178,Austria,sv sandhausen,300000,4357,0,28,0,1,2278,0,0,1391,434,5,0,1,0,0,1,0,0,0,1,0
Erik Zenga,24,181,Germany,sv sandhausen,125000,898,0,4,0,0,322,0,0,661,69,7,0,1,0,0,1,0,0,0,1,0
Maximilian Jansen,23,179,Germany,sv sandhausen,300000,274,0,0,0,23,0,0,0,295,799,0,0,1,0,0,1,0,0,0,1,0
Moritz Kuhn,25,178,Germany,sv sandhausen,300000,661,0,21,4,3,934,0,0,1026,434,0,0,1,0,0,1,0,0,0,1,3736
Manuel Stiefler,28,178,Germany,sv sandhausen,250000,1027,0,6,0,0,283,0,0,1391,69,0,0,1,0,0,1,0,0,0,1,0
Jakub Kosecki,26,168,Poland,sv sandhausen,600000,1370,160000,21,1,3,1184,0,0,259,434,5,0,1,0,0,1,0,0,0,1,1184
Marco Thiede,24,178,Germany,sv sandhausen,350000,1027,0,6,1,0,540,0,0,1391,69,0,0,1,0,0,1,0,0,0,1,540
Thomas Pledl,22,174,Germany,sv sandhausen,650000,830,400000,30,2,7,2634,0,0,462,69,9,0,1,0,0,1,0,0,0,1,5268
Korbinian Vollmann,23,174,Germany,sv sandhausen,600000,274,70000,16,2,2,816,0,0,458,69,0,0,1,0,0,1,0,0,0,1,1632
Taner Yalcin,27,184,Germany,sv sandhausen,125000,1930,400000,7,0,0,467,0,0,222,69,1,0,1,0,0,1,0,0,0,1,0
Julian-Maurice Derstroff,25,182,Germany,sv sandhausen,350000,1758,0,12,2,2,675,0,0,295,434,5,1,0,0,0,1,0,0,0,1,1350
Andrew Wooten,27,186,United States,sv sandhausen,800000,548,110000,26,11,4,2023,0,0,1026,69,1,1,0,0,0,1,0,0,1,0,22253
Lucas Höler,22,184,Germany,sv sandhausen,650000,89,0,30,5,6,2364,0,0,295,434,0,1,0,0,0,1,0,0,0,1,11820
Richard Sukuta-Pasu,26,190,Germany,sv sandhausen,350000,1916,380000,23,4,2,939,0,0,295,434,10,1,0,0,0,1,0,0,0,1,3756
José Pierre Vunguidica,27,186,Angola,sv sandhausen,350000,661,0,13,2,1,537,0,0,661,434,17,1,0,0,0,1,0,1,0,0,1074
Sebastian Neumann,26,188,Germany,würzburger kickers,750000,2124,200000,28,0,1,2569,0,0,295,434,11,0,0,1,0,0,0,0,0,1,0
Clemens Schoppenhauer,25,185,Germany,würzburger kickers,650000,89,0,28,1,0,2459,0,0,1026,69,1,0,0,1,0,0,0,0,0,1,2459
Franko Uzelac,22,190,Croatia,würzburger kickers,200000,274,0,3,0,0,181,0,0,295,434,1,0,0,1,0,0,0,0,0,1,0
Júnior Díaz,33,185,Costa Rica,würzburger kickers,500000,2599,1180000,24,0,1,2033,0,0,235,434,81,0,0,1,0,0,0,0,1,0,0
Peter Kurzweg,23,180,Germany,würzburger kickers,400000,89,0,23,1,3,1702,0,0,661,434,0,0,0,1,0,0,0,0,0,1,1702
David Pisot,29,186,Germany,würzburger kickers,600000,2522,300000,33,3,1,2912,0,0,249,434,4,0,0,1,0,0,0,0,0,1,8736
Tobias Schröck,24,188,Germany,würzburger kickers,800000,89,0,27,3,2,2450,0,0,295,434,0,0,1,0,0,0,0,0,0,1,7350
Anastasios Lagos,25,178,Greece,würzburger kickers,500000,573,0,5,0,0,230,0,0,295,434,0,0,1,0,0,0,0,0,0,1,0
Emanuel Taffertshofer,22,174,Germany,würzburger kickers,400000,89,0,22,0,0,1555,0,0,459,434,0,0,1,0,0,0,0,0,0,1,0
Lukas Fröde,22,192,Germany,würzburger kickers,400000,274,200000,14,0,0,930,0,0,110,434,0,0,1,0,0,0,0,0,0,1,0
Dennis Schmitt,23,176,Germany,würzburger kickers,100000,661,0,21,0,0,1844,0,0,1026,69,0,0,1,0,0,0,0,0,0,1,0
Rico Benatelli,25,181,Germany,würzburger kickers,600000,1027,0,27,5,0,2234,0,0,650,69,0,0,1,0,0,0,0,0,0,1,11170
Ioannis Karsanidis,23,178,Greece,würzburger kickers,300000,274,0,5,0,0,243,0,0,1391,434,0,0,1,0,0,0,0,0,0,1,0
Felix Müller,24,178,Germany,würzburger kickers,350000,274,0,13,2,0,658,0,0,295,434,1,0,1,0,0,0,0,0,0,1,1316
Sebastian Ernst,22,177,Germany,würzburger kickers,400000,26,0,19,1,1,1065,0,0,82,0,0,0,1,0,0,0,0,0,0,1,1065
Dániel Nagy,26,181,Hungary,würzburger kickers,200000,1574,0,9,0,0,190,0,0,661,69,2,0,1,0,0,0,0,0,0,1,0
Nejmeddin Daghfous,30,178,Tunisia,würzburger kickers,600000,89,0,26,2,7,2210,0,0,634,69,0,1,0,0,0,0,1,0,0,0,4420
Valdet Rama,29,182,Albania,würzburger kickers,500000,1979,0,24,1,4,1082,0,0,236,434,15,1,0,0,0,0,0,0,0,1,1082
Patrick Weihrauch,23,181,Germany,würzburger kickers,400000,198,0,20,1,2,1397,0,1,295,434,0,1,0,0,0,0,0,0,0,1,1397
Elia Soriano,27,185,Italy,würzburger kickers,700000,89,0,31,6,1,2394,0,0,458,434,0,1,0,0,0,0,0,0,0,1,14364
Marco Königs,27,189,Germany,würzburger kickers,400000,274,200000,27,0,2,728,0,0,295,434,0,1,0,0,0,0,0,0,0,1,0
John Stones,22,188,England,manchester city,35000000,180,59100000,40,2,0,3157,0,0,256,1895,17,0,0,1,1,0,0,0,0,1,6314
Nicolás Otamendi,29,183,Argentina,manchester city,30000000,556,60600000,36,0,3,3132,0,0,611,1165,44,0,0,1,1,0,0,0,1,0,0
Vincent Kompany,31,193,Belgium,manchester city,25000000,1902,19000000,8,1,0,520,0,0,3165,799,70,0,0,1,1,0,0,0,0,1,520
Aleksandar Kolarov,31,186,Serbia,manchester city,11000000,1902,23900000,37,1,3,3180,0,0,2464,434,67,0,0,1,1,0,0,0,0,1,3180
Gaël Clichy,31,176,France,manchester city,8000000,1390,8130000,34,2,0,2738,0,0,2119,69,18,0,0,1,1,0,0,0,0,1,5476
Pablo Zabaleta,32,176,Argentina,manchester city,8000000,1193,12200000,28,2,1,1877,0,0,3156,69,58,0,0,1,1,0,0,0,1,0,3754
Bacary Sagna,34,176,France,manchester city,5000000,1763,9000000,24,0,2,1821,0,0,1026,69,65,0,0,1,1,0,0,0,0,1,0
Fernando,29,183,Brazil,manchester city,13000000,1390,15720000,25,0,0,1072,0,0,1026,799,3,0,1,0,1,0,0,0,1,0,0
Aleix García,19,173,Spain,manchester city,4000000,477,678,678,0,0,0,0,0,295,1165,0,0,1,0,1,0,0,0,0,1,0
